120,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,触摸失灵/延迟
70,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,机身进水或受潮
140,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,机身弯曲
390,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,更换过电池/摄像头/外壳/尾插
70,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,通话功能不正常
245,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,指纹无法完全录入和解锁
140,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,拍摄模糊/抖动/有斑
70,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,无线无法打开/无法连接
380,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,光线/距离感应不正常
245,索尼 Xperia XZ1,大陆国行（有“进网许可”标签）,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,正常开机进入桌面,无维修情况,账号可退出,G8341,充电正常,振动不正常
