1960,联想 YOGA 720 15寸 系列,固态硬盘240GB-288GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2150,联想 YOGA 720 15寸 系列,固态硬盘480GB-512GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2670,联想 YOGA 720 15寸 系列,固态硬盘480GB-512GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2730,联想 YOGA 720 15寸 系列,固态硬盘480GB-512GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2980,联想 YOGA 720 15寸 系列,固态硬盘1TB及以上,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2120,联想 YOGA 720 15寸 系列,固态硬盘240GB-288GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 7代,几乎全新，无任何瑕疵,核芯/集成显卡,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1960,联想 YOGA 720 15寸 系列,固态硬盘240GB-288GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
290,联想 YOGA 720 15寸 系列,固态硬盘240GB-288GB,8GB,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
95,联想 YOGA 720 15寸 系列,固态硬盘240GB-288GB,8GB,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1800,联想 YOGA 720 15寸 系列,固态硬盘240GB-288GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,无磕碰掉漆，有轻微划痕,NVIDIA GeForce GTX 1050,保修1个月以上,大陆国行,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
