170,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,显示异常，有局部花屏/老化,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常
110,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,屏幕无法正常显示,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常
350,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,有开机密码,充电正常,振动正常
2,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,无法开机/自动重启/工程模式,充电正常,振动正常
2,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号无法退出,R11s,正常开机进入桌面,充电正常,振动正常
170,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,屏幕维修（屏幕拆开或维修）,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常
230,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,主板维修（主板拆修或故障）,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常
120,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,屏幕和主板均有维修,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常
170,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,触摸失灵/延迟
230,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,机身进水或受潮
260,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,机身弯曲
470,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,更换过电池/摄像头/外壳/尾插
230,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,通话功能不正常
170,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,指纹无法完全录入和解锁
260,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,拍摄模糊/抖动/有斑
230,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,无线无法打开/无法连接
420,OPPO R11s ,黑色,4G+64G,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11s,正常开机进入桌面,充电正常,振动正常,光线/距离感应不正常
