4070,雷神 911M-M6b 系列,固态硬盘60GB-80GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
4150,雷神 911M-M6b 系列,固态硬盘120GB-192GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
4280,雷神 911M-M6b 系列,固态硬盘240GB-288GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
4580,雷神 911M-M6b 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
4000,雷神 911M-M6b 系列,固态硬盘120GB-192GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,4G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
4070,雷神 911M-M6b 系列,固态硬盘60GB-80GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1860,雷神 911M-M6b 系列,固态硬盘60GB-80GB,8GB,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1180,雷神 911M-M6b 系列,固态硬盘60GB-80GB,8GB,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
3850,雷神 911M-M6b 系列,固态硬盘60GB-80GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,无磕碰掉漆，有轻微划痕,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
3800,雷神 911M-M6b 系列,固态硬盘60GB-80GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,6G独立显卡,仅有1-2处磕碰掉漆,Intel 酷睿 i7 7代,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
