2080,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
2340,雷神 911-M1c 系列,固态硬盘60GB-80GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 6代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
2400,雷神 911-M1c 系列,固态硬盘120GB-192GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 6代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
2080,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
310,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
100,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1910,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,无磕碰掉漆，有轻微划痕,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1870,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,仅有1-2处磕碰掉漆,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1490,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,有多处磕碰、掉漆,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1720,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,经常使用，完好有细微划痕,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1160,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,屏幕有裂痕、缺角、碎裂,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1720,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,经常使用，显示正常轻微亮黑点,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
1160,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,显示异常，有色斑、漏光、花屏,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件
620,雷神 911-M1c 系列,固态硬盘240GB-288GB,16GB-18GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,无硬件锁,显卡功能正常,不缺件,机身进水
